Format Version,1.0,
Take Name,Subject_01_trial,
Capture Frame Rate,100.00,
Export Frame Rate,100.00,
Capture Start Time,07 Feb 2020 17:30:04 +0900,
Total Frames In Take,30272,
Total Exported Frames,30272,
Coordinate Space,Local,
Device Name,AMTI 3194 3194,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,1.00,

PlateLength,19.750000,
PlateWidth,19.750000,
PlateOrder,1,
PosX_PosY_X,0.501692,
PosX_PosY_Y,-0.000067,
PosX_PosY_Z,0.500841,
NegX_PosY_X,-0.000059,
NegX_PosY_Y,-0.000028,
NegX_PosY_Z,0.501540,
NegX_NegY_X,-0.000048,
NegX_NegY_Y,0.000003,
NegX_NegY_Z,0.000010,
PosX_NegY_X,0.501703,
PosX_NegY_Y,-0.000036,
PosX_NegY_Z,-0.000689,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz, Tz
0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.040000,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.050000,5,-1.763977,16.293945,-66.875000,-0.388626,2.676270,-6.335693,0.040019,0.005811,0.000000,-6.998012
6,0.060000,6,-1.731934,16.264648,-67.144531,-0.434570,2.530762,-6.144043,0.037691,0.006472,0.000000,-6.768288
7,0.070000,7,-1.757996,15.988770,-67.273438,-0.356934,2.529297,-6.126709,0.037597,0.005306,0.000000,-6.737170
8,0.080000,8,-0.932159,15.201660,-67.265625,-0.431824,2.578247,-6.476562,0.038329,0.006420,0.000000,-7.065217
9,0.090000,9,-1.457336,16.604492,-67.144531,-0.392563,2.588745,-6.441162,0.038555,0.005847,0.000000,-7.089866
10,0.100000,10,-1.789062,15.957031,-66.875000,-0.381744,2.577515,-6.038330,0.038542,0.005708,0.000000,-6.663563
11,0.110000,11,-1.674072,16.509766,-67.144531,-0.391693,2.581909,-6.178955,0.038453,0.005834,0.000000,-6.823571
12,0.120000,12,-1.567017,15.776367,-67.136719,-0.328217,2.632446,-5.986572,0.039210,0.004889,0.000000,-6.612828
13,0.130000,13,-1.358765,16.329102,-67.007812,-0.410706,2.616089,-6.301025,0.039042,0.006129,0.000000,-6.946867
14,0.140000,14,-1.256775,15.872070,-67.003906,-0.352997,2.593994,-6.126221,0.038714,0.005268,0.000000,-6.747314
15,0.150000,15,-1.078674,16.394531,-67.406250,-0.385345,2.551147,-6.267334,0.037847,0.005717,0.000000,-6.893990
16,0.160000,16,-1.203186,16.362305,-67.136719,-0.386292,2.596436,-6.021729,0.038674,0.005754,0.000000,-6.661445
17,0.170000,17,-2.531006,15.581543,-67.011719,-0.353302,2.529053,-6.371094,0.037740,0.005272,0.000000,-6.972493
18,0.180000,18,-1.818542,15.864746,-66.875000,-0.379990,2.625244,-6.178467,0.039256,0.005682,0.000000,-6.811586
19,0.190000,19,-2.544434,16.316406,-67.148438,-0.439667,2.602905,-6.249023,0.038763,0.006548,0.000000,-6.898164
20,0.200000,20,-1.906860,15.588379,-67.140625,-0.373688,2.524170,-6.056641,0.037595,0.005566,0.000000,-6.653303
21,0.210000,21,-2.110718,14.790039,-67.136719,-0.358109,2.516235,-6.249023,0.037479,0.005334,0.000000,-6.814602
22,0.220000,22,-1.843689,15.559082,-67.406250,-0.371780,2.574463,-6.477051,0.038193,0.005516,0.000000,-7.081471
23,0.230000,23,-1.881958,15.925781,-67.007812,-0.404922,2.525635,-6.406006,0.037692,0.006043,0.000000,-7.017647
24,0.240000,24,-2.063232,15.586426,-66.875000,-0.375397,2.519531,-6.300781,0.037675,0.005613,0.000000,-6.899585
25,0.250000,25,-1.039551,15.935547,-66.867188,-0.377563,2.601074,-6.196045,0.038899,0.005646,0.000000,-6.821794
26,0.260000,26,-1.665222,16.020508,-67.007812,-0.405807,2.654419,-6.196289,0.039614,0.006056,0.000000,-6.841003
